stid,stname,province,city,district,address,longitude,latitude,user_id,platform,create_time,goods_name,goods_number,market_price,actual_price,subtotal,date,num
145728,壳牌皇岗加油站,广东省,深圳市,福田区,广东省深圳市福田区桂花路6号,114.063796,22.516407,4067,1001,1418276878,国五98#车用汽油,78.045685,78800,78800,59627,2014/12/11,1
145728,壳牌皇岗加油站,广东省,深圳市,福田区,广东省深圳市福田区桂花路6号,114.063796,22.516407,2801,1001,1418367247,国五98#车用汽油,58.375635,78800,78800,44599,2014/12/12,1
145728,壳牌皇岗加油站,广东省,深圳市,福田区,广东省深圳市福田区桂花路6号,114.063796,22.516407,4161,1001,1418376040,国五95#车用汽油,50.340136,73500,73500,35893,2014/12/12,1
145728,壳牌皇岗加油站,广东省,深圳市,福田区,广东省深圳市福田区桂花路6号,114.063796,22.516407,4377,1001,1418558984,国五95#车用汽油,46.938776,73500,73500,33110,2014/12/14,1
145728,壳牌皇岗加油站,广东省,深圳市,福田区,广东省深圳市福田区桂花路6号,114.063796,22.516407,4160,1001,1418375454,国五95#车用汽油,19.047619,73500,73500,13581,2014/12/12,1
145728,壳牌皇岗加油站,广东省,深圳市,福田区,广东省深圳市福田区桂花路6号,114.063796,22.516407,4375,1001,1418558191,国五95#车用汽油,45.578231,73500,73500,32151,2014/12/14,1
145728,壳牌皇岗加油站,广东省,深圳市,福田区,广东省深圳市福田区桂花路6号,114.063796,22.516407,4760,1001,1418719195,国五95#车用汽油,24.357823,73500,73500,17182,2014/12/16,1
145728,壳牌皇岗加油站,广东省,深圳市,福田区,广东省深圳市福田区桂花路6号,114.063796,22.516407,4951,1001,1418803034,国五95#车用汽油,49.165986,73500,73500,34681,2014/12/17,1
145728,壳牌皇岗加油站,广东省,深圳市,福田区,广东省深圳市福田区桂花路6号,114.063796,22.516407,4502,1001,1418637984,国五92#车用汽油,54.814815,67500,67500,35498,2014/12/15,1
145728,壳牌皇岗加油站,广东省,深圳市,福田区,广东省深圳市福田区桂花路6号,114.063796,22.516407,4706,1001,1418708968,国五98#车用汽油,55.837563,78800,78800,42233,2014/12/16,1
