stid,stname,province,city,district,address,longitude,latitude,user_id,platform,create_time,goods_name,goods_number,market_price,actual_price,subtotal,date,num
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,229153,1001,1443426116,oil93,35.087719,57000,52000,18246,2015/09/28,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,229613,1001,1443434114,国四93#车用汽油,35.273369,56700,56700,19299,2015/09/28,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,228999,1001,1443421104,oil97,9.852217,60900,59900,5901,2015/09/28,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,229159,1001,1443426213,国五95#车用汽油,60.806916,69400,65400,40171,2015/09/28,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,229249,1001,1443427661,国五92#车用汽油,36.418816,65900,63900,23192,2015/09/28,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,229570,1001,1443433334,国五98#车用汽油,92.028986,69000,69000,61659,2015/09/28,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,229266,1001,1443428064,国五92#车用汽油,23.961661,62600,60600,14477,2015/09/28,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,230899,1001,1443481039,oil93,35.087719,57000,56000,19649,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,231246,1001,1443494217,国五0#车用柴油,8.077544,61900,61100,4928,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,231231,1001,1443493593,国五95#车用汽油,29.673591,67400,62400,19681,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,234063,1001,1443578934,国五92#车用汽油,30.985915,63900,59900,18765,2015/09/30,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,234790,1001,1443594541,oil93,17.636684,56700,55700,9824,2015/09/30,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,235643,1001,1443608929,oil93,35.087719,57000,56000,19649,2015/09/30,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,149403,1001,1443491668,国五92#车用汽油,26.656347,64600,63600,17220,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,231912,1001,1443508466,国五92#车用汽油,15.174507,65900,65100,9865,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,230920,1001,1443482044,oil97,45.031056,64400,61400,27649,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,231170,1001,1443491780,国五92#车用汽油,44.546851,65100,65100,28420,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,231195,1001,1443492430,国五92#车用汽油,30.349014,65900,60900,18990,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,212865,1001,1443510530,oil93,17.953321,55700,54700,9820,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,231795,1001,1443506078,oil93,17.953321,55700,54700,9820,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,119517,1001,1443529777,oil97,86.507937,63000,59500,51472,2015/09/29,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,2934,1001,1443605390,国五95#车用汽油,14.005602,71400,69400,9689,2015/09/30,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,236049,1001,1443615662,oil93,45.296167,57400,55900,25321,2015/09/30,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,60167,3001,1443613795,国五92#车用汽油,16.691958,65900,65100,10852,2015/09/30,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,164141,1001,1443650764,国五92#车用汽油,33.388982,59900,59900,18990,2015/10/01,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,236961,1001,1443662822,京五92#汽油,15.384615,65000,65000,9825,2015/10/01,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,238754,1001,1443709158,京五92#汽油,29.574861,54100,54100,15710,2015/10/01,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,237282,1001,1443669315,oil97,77.639752,64400,61400,47671,2015/10/01,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,154558,1001,1443670290,oil93,34.843206,57400,55900,19477,2015/10/01,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,228999,1001,1443808211,oil97,53.660317,63000,62000,33269,2015/10/03,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,237423,1001,1443672839,京五95#汽油,42.857143,70000,70000,28571,2015/10/01,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,77925,1001,1443753126,国四93#车用汽油,35.273369,56700,56700,19299,2015/10/02,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,190485,1001,1443785353,oil93,26.132404,57400,55900,14608,2015/10/02,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,241318,1001,1443798607,京五92#汽油,18.484288,54100,54100,9819,2015/10/02,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,241850,1001,1443837227,oil93,31.578947,57000,53500,16895,2015/10/03,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,242943,1001,1443864754,oil93,17.421603,57400,55900,9739,2015/10/03,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,163737,1001,1443955663,国五95#车用汽油,56.022409,71400,69400,39068,2015/10/04,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,241461,1001,1443805800,oil97,58.428805,61100,60100,35116,2015/10/03,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,240093,1001,1443766720,京五92#汽油,40.000000,65000,65000,25545,2015/10/02,1
10304,中海油白芒加油站,广东省,深圳市,宝安区,广东省深圳市宝安区天宝路3号-3,113.937647,22.641698,241465,1001,1443806591,京五95#汽油,30.743802,60500,60500,17700,2015/10/03,1
