,date,no_use,goods_name,len_p,len_n,min_p,min_n,m_p,m_n,max_p,min_n.1
0,2015-06-15/2015-06-21,0.0,,,,,,,,,
1,2015-06-22/2015-06-28,0.0,,,,,,,,,
2,2015-06-29/2015-07-05,0.0,,,,,,,,,
3,2015-07-06/2015-07-12,0.0,,,,,,,,,
4,2015-07-13/2015-07-19,0.0,,,,,,,,,
5,2015-07-20/2015-07-26,0.0,京五92#汽油,15.0,15.0,54100.0,16.18123,54300.0,18.484288,61800.0,70.902394
6,2015-07-27/2015-08-02,0.0,京五92#汽油,78.0,78.0,54100.0,0.184843,54100.0,36.968577,61800.0,72.088725
7,2015-08-03/2015-08-09,0.0,京五92#汽油,131.0,131.0,54100.0,8.371385,54100.0,36.968577,65700.0,86.887836
8,2015-08-10/2015-08-16,0.0,京五92#汽油,153.0,153.0,54100.0,3.949447,61300.0,31.595577,65700.0,92.421442
9,2015-08-17/2015-08-23,0.0,京五92#汽油,199.0,199.0,54100.0,2.957486,55600.0,33.175355,65700.0,91.627172
10,2015-08-24/2015-08-30,0.0,京五92#汽油,201.0,201.0,54100.0,1.848429,54100.0,28.650647,65700.0,631.9115320000002
11,2015-08-31/2015-09-06,0.0,京五92#汽油,268.0,268.0,54100.0,1.579779,55600.0,27.726433,65700.0,97.156398
12,2015-09-07/2015-09-13,0.0,京五92#汽油,266.0,266.0,53700.0,1.848429,54100.0,31.595577,65700.0,94.78673
13,2015-09-14/2015-09-20,0.0,京五92#汽油,311.0,311.0,53700.0,1.848429,54100.0,31.595577,65700.0,94.78673
14,2015-09-21/2015-09-27,0.0,京五92#汽油,369.0,369.0,53700.0,0.7898890000000001,54100.0,30.769231,66700.0,81.35861
15,2015-09-28/2015-10-04,0.0,京五92#汽油,229.0,229.0,53700.0,3.142329,54100.0,27.736132,66700.0,79.304897
16,2015-10-05/2015-10-11,0.0,京五92#汽油,324.0,324.0,53700.0,3.696858,54100.0,28.18854,66700.0,70.91561899999998
17,2015-10-12/2015-10-18,0.0,京五92#汽油,397.0,397.0,53700.0,3.5120150000000003,54100.0,30.716724,66700.0,76.30161600000002
18,2015-10-19/2015-10-25,0.0,京五92#汽油,374.0,374.0,53700.0,3.142329,55600.0,30.7429775,66700.0,81.33086899999998
19,2015-10-26/2015-11-01,0.0,京五92#汽油,320.0,320.0,52000.0,1.848429,55600.0,29.6852665,65700.0,89.766607
20,2015-11-02/2015-11-08,0.0,京五92#汽油,198.0,198.0,54100.0,1.877133,55600.0,18.771331,66700.0,67.681895
21,2015-11-09/2015-11-15,0.0,京五92#汽油,153.0,153.0,54100.0,3.5120150000000003,59100.0,33.726813,66700.0,73.012939
22,2015-11-16/2015-11-22,0.0,京五92#汽油,111.0,111.0,52000.0,4.066543,59100.0,33.840948,66700.0,59.704251
23,2015-11-23/2015-11-29,0.0,京五92#汽油,114.0,114.0,52000.0,1.692308,59100.0,33.499266,66700.0,84.602369
24,2015-11-30/2015-12-06,0.0,京五92#汽油,78.0,78.0,52000.0,12.17656,59100.0,33.783880499999995,66700.0,60.91370600000001
25,2015-12-07/2015-12-13,0.0,京五92#汽油,70.0,70.0,54100.0,3.696858,59100.0,33.840948,65700.0,76.103501
26,2015-12-14/2015-12-20,0.0,京五92#汽油,82.0,82.0,54100.0,2.033272,59100.0,33.840948,65700.0,76.103501
27,2015-12-21/2015-12-27,0.0,京五92#汽油,82.0,82.0,54100.0,3.881701,59100.0,33.840948,65700.0,74.450085
28,2015-12-28/2016-01-03,0.0,京五92#汽油,73.0,73.0,54100.0,3.696858,59100.0,33.840948,65700.0,57.86802
29,2016-01-04/2016-01-10,0.0,京五92#汽油,56.0,56.0,54100.0,3.5120150000000003,59100.0,33.840948,65700.0,65.989848
30,2016-01-11/2016-01-17,0.0,京五92#汽油,59.0,59.0,54100.0,2.957486,59100.0,29.985007,66700.0,55.452865
31,2016-01-18/2016-01-24,0.0,京五92#汽油,49.0,49.0,54100.0,8.460237,59100.0,33.840948,65700.0,48.05915
32,2016-01-25/2016-01-31,0.0,京五92#汽油,39.0,39.0,54100.0,12.647555,59100.0,33.726813,59300.0,67.453626
33,2016-02-01/2016-02-07,0.0,京五92#汽油,28.0,28.0,54100.0,15.2207,59100.0,37.0968095,65700.0,88.280061
34,2016-02-08/2016-02-14,0.0,京五92#汽油,9.0,9.0,54100.0,16.920474,59100.0,28.764805,59100.0,45.685279
35,2016-02-15/2016-02-21,0.0,京五92#汽油,21.0,21.0,54100.0,8.460237,59100.0,34.686971,59100.0,51.756007
36,2016-02-22/2016-02-28,0.0,京五92#汽油,26.0,26.0,54100.0,16.920474,59100.0,33.840948,65700.0,60.910321
37,2016-02-29/2016-03-06,0.0,京五92#汽油,27.0,27.0,54100.0,2.5878,59100.0,33.840948,65700.0,59.149723
38,2016-03-07/2016-03-13,0.0,京五92#汽油,26.0,26.0,54100.0,6.260575,59100.0,35.5822555,65700.0,47.134935
39,2016-03-14/2016-03-20,0.0,京五92#汽油,26.0,26.0,54100.0,1.920518,54100.0,33.840948,59100.0,51.94085
40,2016-03-21/2016-03-27,0.0,京五92#汽油,23.0,23.0,50600.0,3.696858,54100.0,33.840948,59100.0,58.139535
41,2016-03-28/2016-04-03,0.0,京五92#汽油,28.0,28.0,50600.0,9.416196,51600.0,39.525692,53100.0,63.37209300000001
42,2016-04-04/2016-04-10,0.0,京五92#汽油,15.0,15.0,50600.0,2.51938,51600.0,39.525692,53100.0,47.43083
43,2016-04-11/2016-04-17,0.0,京五92#汽油,15.0,15.0,50600.0,13.043478,50600.0,38.75969,53100.0,59.298419
44,2016-04-18/2016-04-24,0.0,京五92#汽油,25.0,25.0,50600.0,9.881423,50600.0,39.525692,53100.0,65.612648
45,2016-04-25/2016-05-01,0.0,京五92#汽油,12.0,12.0,50600.0,18.899083,54700.0,31.8761385,54900.0,45.537341
