date,num,subtotal
2015-04-29,12,327344
2015-04-30,51,1173954
2015-05-01,42,974203
2015-05-02,37,938629
2015-05-03,48,1118865
2015-05-04,30,772726
2015-05-05,25,618376
2015-05-06,37,964411
2015-05-07,30,725896
2015-05-08,32,787260
2015-05-09,11,263131
2015-05-10,7,144077
2015-05-11,13,268997
2015-05-12,3,49104
2015-05-13,37,878915
2015-05-14,21,461715
2015-05-15,44,979997
2015-05-16,99,2285691
2015-05-17,60,1552667
2015-05-18,182,4339709
2015-05-19,167,3830024
2015-05-20,174,4072655
2015-05-21,153,3481436
2015-05-22,207,5209594
2015-05-23,160,3615630
2015-05-24,149,3716634
2015-05-25,168,4109527
2015-05-26,180,4351262
2015-05-27,222,5523244
2015-05-28,207,4959547
2015-05-29,228,5403873
2015-05-30,228,5390101
2015-05-31,163,3801712
2015-06-01,258,6071057
2015-06-02,216,5183968
2015-06-03,246,5926898
2015-06-04,213,5170629
2015-06-05,241,5626940
2015-06-06,93,2035533
2015-06-07,179,4208930
2015-06-08,229,5390709
2015-06-09,203,4807542
2015-06-10,214,5217756
2015-06-11,216,5047864
2015-06-12,257,6178046
2015-06-13,226,5457971
2015-06-14,187,4281610
2015-06-15,262,6219723
2015-06-16,231,5272976
2015-06-17,252,5911907
2015-06-18,279,6535574
2015-06-19,282,6350420
2015-06-20,174,3751167
2015-06-21,149,3232570
2015-06-22,183,4128287
2015-06-23,242,5887966
2015-06-24,236,5779423
2015-06-25,228,5517478
2015-06-26,253,5816933
2015-06-27,236,5412491
2015-06-28,213,4704380
2015-06-29,225,5212213
2015-06-30,257,5851319
2015-07-01,260,6052090
2015-07-02,134,3949804
2015-07-03,124,2809668
2015-07-04,37,812392
2015-07-05,64,1520212
2015-07-06,91,2081466
2015-07-07,62,1439030
2015-07-08,75,1847892
2015-07-09,127,2958421
2015-07-10,169,4405195
2015-07-11,147,3330619
2015-07-12,152,3609848
2015-07-13,201,4957313
2015-07-14,182,4345162
2015-07-15,193,4830818
2015-07-16,200,4871222
2015-07-17,210,4812172
2015-07-18,203,4826519
2015-07-19,186,4631516
2015-07-20,205,4822898
2015-07-21,201,4886383
2015-07-22,210,5074835
2015-07-23,201,4857720
2015-07-24,192,4340835
2015-07-25,181,3894739
2015-07-26,162,3756587
2015-07-27,193,4191234
2015-07-28,206,4841085
2015-07-29,209,4604689
2015-07-30,155,3343518
2015-07-31,225,4974809
2015-08-01,176,4074794
2015-08-02,174,3830335
2015-08-03,240,5105086
2015-08-04,224,5000802
2015-08-05,283,5950055
2015-08-06,242,5512412
2015-08-07,253,5641556
2015-08-08,251,5684359
2015-08-09,219,4913003
2015-08-10,279,6265913
2015-08-11,207,4548230
2015-08-12,247,5613346
2015-08-13,237,4960256
2015-08-14,244,5194114
2015-08-15,203,4465737
2015-08-16,184,3861195
2015-08-17,270,5758561
2015-08-18,211,5486159
2015-08-19,236,5000408
2015-08-20,239,5251892
2015-08-21,283,6329622
2015-08-22,260,5724555
2015-08-23,213,4490230
2015-08-24,281,6587501
2015-08-25,273,5982856
2015-08-26,305,6875064
2015-08-27,283,6066749
2015-08-28,254,5628078
2015-08-29,298,6147998
2015-08-30,216,4331418
2015-08-31,264,5756657
2015-09-01,330,6909988
2015-09-02,314,6675625
2015-09-03,249,4699433
2015-09-04,265,5061187
2015-09-05,283,5651889
2015-09-06,283,5892017
2015-09-07,295,6036560
2015-09-08,322,6642406
2015-09-09,328,7465622
2015-09-10,309,6399743
2015-09-11,240,4800037
2015-09-12,296,5957283
2015-09-13,241,4765970
2015-09-14,342,6723954
2015-09-15,326,7005740
2015-09-16,370,7367942
2015-09-17,332,6590592
2015-09-18,324,6240456
2015-09-19,400,8076539
2015-09-20,284,5877395
2015-09-21,332,6512264
2015-09-22,377,7543071
2015-09-23,335,6355465
2015-09-24,401,7559304
2015-09-25,451,8733294
2015-09-26,421,7990343
2015-09-27,257,5121970
2015-09-28,375,6917701
2015-09-29,328,6150511
2015-09-30,213,4033690
2015-10-01,179,3256518
2015-10-02,139,2678078
2015-10-03,111,2178747
2015-10-04,91,1590904
2015-10-05,146,2643323
2015-10-06,219,3945529
2015-10-07,219,4964367
2015-10-08,328,6208682
2015-10-09,340,6433424
2015-10-10,382,7307755
2015-10-11,303,5829688
2015-10-12,401,7728129
2015-10-13,374,6971508
2015-10-14,363,7018748
2015-10-15,340,6299302
2015-10-16,375,7017079
2015-10-17,366,6410691
2015-10-18,323,6164223
2015-10-19,413,8951713
2015-10-20,399,7538924
2015-10-21,393,7462273
2015-10-22,405,7949304
2015-10-23,378,7033993
2015-10-24,361,8104272
2015-10-25,285,5518342
2015-10-26,333,6436979
2015-10-27,368,6985730
2015-10-28,359,6766451
2015-10-29,347,6503048
2015-10-30,376,7768001
2015-10-31,375,7592664
2015-11-01,340,6699552
2015-11-02,387,7272747
2015-11-03,385,7265103
2015-11-04,407,7284875
2015-11-05,343,6326699
2015-11-06,405,7496061
2015-11-07,341,6725687
2015-11-08,303,5773834
2015-11-09,350,7358200
2015-11-10,335,6816808
2015-11-11,336,6824819
2015-11-12,342,7179696
2015-11-13,333,6587095
2015-11-14,353,7121114
2015-11-15,297,6264585
2015-11-16,376,8015138
2015-11-17,362,7455429
2015-11-18,338,7126621
2015-11-19,369,7680488
2015-11-20,364,7508882
2015-11-21,350,6970211
2015-11-22,288,6187925
2015-11-23,340,6751498
2015-11-24,376,8944014
2015-11-25,341,6916190
2015-11-26,351,7354778
2015-11-27,349,7321439
2015-11-28,354,6603154
2015-11-29,302,6932810
2015-11-30,303,5878299
2015-12-01,328,6509206
2015-12-02,314,6698294
2015-12-03,326,6903787
2015-12-04,345,6846684
2015-12-05,264,5180097
2015-12-06,293,5905026
2015-12-07,282,5782869
2015-12-08,328,6942878
2015-12-09,311,7630913
2015-12-10,305,6163201
2015-12-11,325,6459080
2015-12-12,313,6364321
2015-12-13,269,5595597
2015-12-14,338,6793870
2015-12-15,312,6019179
2015-12-16,344,7119811
2015-12-17,343,7215039
2015-12-18,326,6471878
2015-12-19,335,6417450
2015-12-20,255,5153039
2015-12-21,267,5530080
2015-12-22,318,6310638
2015-12-23,294,6033105
2015-12-24,310,6179539
2015-12-25,326,7593969
2015-12-26,310,6151896
2015-12-27,252,5409747
2015-12-28,347,7265853
2015-12-29,300,6062407
2015-12-30,262,4981572
2015-12-31,362,7020282
2016-01-01,251,4755306
2016-01-02,217,5292268
2016-01-03,247,5120105
2016-01-04,341,6953061
2016-01-05,269,5500665
2016-01-06,325,6620789
2016-01-07,291,5831022
2016-01-08,320,6412844
2016-01-09,276,5428535
2016-01-10,274,5540979
2016-01-11,302,5818133
2016-01-12,276,5833840
2016-01-13,333,6817143
2016-01-14,283,5437562
2016-01-15,300,5812988
2016-01-16,266,5284189
2016-01-17,219,4906962
2016-01-18,297,5940680
2016-01-19,255,5150643
2016-01-20,280,5377807
2016-01-21,282,5438821
2016-01-22,262,4893624
2016-01-23,282,5572503
2016-01-24,173,3537002
2016-01-25,307,6391693
2016-01-26,264,5313288
2016-01-27,250,5867592
2016-01-28,243,4599332
2016-01-29,395,7608249
2016-01-30,292,7687103
2016-01-31,249,4816435
2016-02-01,269,5334778
2016-02-02,248,4804295
2016-02-03,241,4798425
2016-02-04,211,4182348
2016-02-05,157,3196086
2016-02-06,156,2977754
2016-02-07,94,1671201
2016-02-08,64,1203471
2016-02-09,67,1486376
2016-02-10,49,921115
2016-02-11,64,1298596
2016-02-12,72,1316531
2016-02-13,104,2218152
2016-02-14,166,3076191
2016-02-15,203,4015268
2016-02-16,215,4140920
2016-02-17,248,5129540
2016-02-18,238,4516250
2016-02-19,256,4844033
2016-02-20,240,4541552
2016-02-21,187,3824680
2016-02-22,240,4675407
2016-02-23,206,4036936
2016-02-24,178,3531228
2016-02-25,228,4448116
2016-02-26,269,5457922
2016-02-27,243,5017753
2016-02-28,215,4256533
2016-02-29,219,4254316
2016-03-01,291,6241004
2016-03-02,243,4838207
2016-03-03,273,5642422
2016-03-04,278,5476312
2016-03-05,275,5158918
2016-03-06,194,4121253
2016-03-07,255,4940267
2016-03-08,242,4606688
2016-03-09,247,4839249
2016-03-10,235,5028051
2016-03-11,287,5648985
2016-03-12,257,5129750
2016-03-13,181,3550336
2016-03-14,315,6267086
2016-03-15,263,5441347
2016-03-16,251,5191061
2016-03-17,285,5665828
2016-03-18,321,6093112
2016-03-19,266,4855259
2016-03-20,244,4561902
2016-03-21,225,4656762
2016-03-22,264,5341381
2016-03-23,258,4821948
2016-03-24,284,5550761
2016-03-25,339,6939684
2016-03-26,294,5749655
2016-03-27,215,3985897
2016-03-28,280,5560795
2016-03-29,292,6049734
2016-03-30,297,6053208
2016-03-31,247,5537036
2016-04-01,280,5437277
2016-04-02,275,5353544
2016-04-03,226,4219299
2016-04-04,168,3168627
2016-04-05,264,5281410
2016-04-06,335,6657547
2016-04-07,305,6068509
2016-04-08,297,5956279
2016-04-09,275,4887393
2016-04-10,224,4166355
2016-04-11,292,5328884
2016-04-12,258,4969775
2016-04-13,270,5078672
2016-04-14,316,5887208
2016-04-15,339,6484488
2016-04-16,339,6458909
2016-04-17,310,6257051
2016-04-18,352,6696714
2016-04-19,345,6638597
2016-04-20,353,6927570
2016-04-21,310,6349425
2016-04-22,320,6624416
2016-04-23,325,6426280
2016-04-24,227,4585710
2016-04-25,335,6776742
2016-04-26,428,8778602
2016-04-27,346,6904985
2016-04-28,367,7413957
2016-04-29,435,8492406
2016-04-30,1,14582
2016-05-01,0,0
2016-05-02,0,0
2016-05-03,0,0
2016-05-04,0,0
2016-05-05,0,0
2016-05-06,217,5270946
2016-05-07,329,6446880
2016-05-08,240,4614352
2016-05-09,360,7475471
2016-05-10,251,4774006
2016-05-11,348,6830449
2016-05-12,276,5378260
2016-05-13,307,6104869
2016-05-14,322,5923582
2016-05-15,255,4878160
2016-05-16,348,6917988
2016-05-17,310,6029284
2016-05-18,338,6627812
2016-05-19,351,7007739
2016-05-20,261,5550092
2016-05-21,209,4070358
2016-05-22,241,4681272
2016-05-23,276,5500839
2016-05-24,268,5106446
2016-05-25,292,5780434
2016-05-26,264,4811004
2016-05-27,294,5384387
2016-05-28,221,4107605
2016-05-29,191,3951147
2016-05-30,83,1461962
2016-05-31,8,194614
