date,goods_name,len_p,len_n,min_p,min_n,m_p,m_n,sum_p,sum_n
2015-04-29,oil93,9,9,57500,16376,57500,19656.0,518500,194042
2015-04-29,oil97,5,5,63500,11588,63500,18540.0,317500,104288
2015-04-30,oil93,40,40,57500,5520,57500,18400.0,2300000,806840
2015-04-30,oil97,10,10,63500,18540,63500,25956.0,635000,267440
2015-05-01,oil93,32,32,57500,5520,57500,18768.0,1840000,633052
2015-05-01,oil97,9,9,63500,9270,63500,27810.0,571500,282607
2015-05-02,oil93,35,35,57500,9200,57500,18400.0,2012500,707889
2015-05-02,oil97,3,3,63500,13905,63500,18540.0,190500,63036
2015-05-03,oil93,36,36,57500,9200,57500,18400.0,2070000,708216
2015-05-03,oil97,12,12,63500,15388,63500,27810.0,762000,326397
2015-05-04,oil93,21,21,57500,13800,57500,18400.0,1207500,444820
2015-05-04,oil97,9,9,63500,1911,63500,18540.0,571500,192410
2015-05-05,oil93,19,19,57500,16560,57500,21160.0,1092500,439300
2015-05-05,oil97,6,6,63500,18540,63500,21784.5,381000,145539
2015-05-06,oil93,29,29,57500,16100,57500,18400.0,1667500,621055
2015-05-06,oil97,7,7,63500,18540,63500,29201.0,444500,202087
2015-05-07,oil93,25,25,57500,9200,57500,18400.0,1437500,508369
2015-05-07,oil97,5,5,63500,18540,63500,27810.0,317500,132098
2015-05-08,oil93,29,29,57500,9200,57500,18400.0,1673500,596445
2015-05-08,oil97,3,3,63500,27810,63500,35226.0,190500,113094
2015-05-09,oil93,9,9,59000,9440,59000,18880.0,531000,154344
2015-05-09,oil97,3,3,65000,12336,65000,18978.0,195000,59781
2015-05-10,oil93,7,7,59000,9440,59000,18880.0,413000,127440
2015-05-11,oil93,10,10,59000,9440,59000,18880.0,590000,209096
2015-05-11,oil97,3,3,65000,18978,65000,28467.0,195000,75912
2015-05-12,oil93,2,2,62000,19215,62000,24042.5,124000,48085
2015-05-12,oil97,1,1,67000,29936,67000,29936.0,67000,29936
2015-05-13,oil93,29,29,62000,1609,62000,18931.0,1798000,618232
2015-05-13,oil97,8,8,67000,14255,67000,28511.0,536000,233788
