,,len,len,amin,amin,median,median,sum,sum
,,actual_price,subtotal,actual_price,subtotal,actual_price,subtotal,actual_price,subtotal
date,goods_name,,,,,,,,
2016-03-01,oil93,1,1,50800,29052,50800,29052.0,50800,29052
2016-03-02,国五92#车用汽油,2,2,60900,18925,62450,19176.0,124900,38352
2016-03-02,国五95#车用汽油,1,1,65900,26514,65900,26514.0,65900,26514
2016-03-03,oil93,1,1,53000,19630,53000,19630.0,53000,19630
2016-03-04,国五92#车用汽油,2,2,60900,9104,62700,20756.5,125400,41513
2016-03-05,国五95#车用汽油,1,1,69400,14504,69400,14504.0,69400,14504
2016-03-06,oil93,2,2,50000,12425,51400,18040.5,102800,36081
2016-03-06,国五92#车用汽油,1,1,63900,38566,63900,38566.0,63900,38566
2016-03-07,国五92#车用汽油,1,1,57000,14727,57000,14727.0,57000,14727
2016-03-08,oil98,1,1,42100,77248,42100,77248.0,42100,77248
2016-03-08,国五92#车用汽油,1,1,54300,19094,54300,19094.0,54300,19094
2016-03-09,国五92#车用汽油,1,1,54500,14446,54500,14446.0,54500,14446
2016-03-10,oil93,1,1,53000,19630,53000,19630.0,53000,19630
2016-03-10,京五92#汽油,1,1,54100,16000,54100,16000.0,54100,16000
2016-03-10,国五95#车用汽油,1,1,70400,39405,70400,39405.0,70400,39405
2016-03-11,oil93,1,1,52800,9814,52800,9814.0,52800,9814
2016-03-12,国五92#车用汽油,1,1,54500,33708,54500,33708.0,54500,33708
2016-03-13,国五92#车用汽油,1,1,61900,23350,61900,23350.0,61900,23350
2016-03-14,国五95#车用汽油,1,1,70600,19736,70600,19736.0,70600,19736
2016-03-16,国五92#车用汽油,2,2,58400,9713,59650,16236.5,119300,32473
2016-03-18,oil93,2,2,50000,14612,50000,19731.5,100000,39463
2016-03-19,oil93,1,1,51500,34173,51500,34173.0,51500,34173
2016-03-22,国五95#车用汽油,3,3,69400,19339,69400,39471.0,209400,101566
2016-03-24,国五92#车用汽油,1,1,51800,31773,51800,31773.0,51800,31773
2016-03-25,国五95#车用汽油,1,1,54500,24648,54500,24648.0,54500,24648
2016-03-26,国五92#车用汽油,1,1,52000,27083,52000,27083.0,52000,27083
2016-03-28,国五92#车用汽油,1,1,45800,12558,45800,12558.0,45800,12558
2016-03-28,沪五92#汽油,1,1,52300,19625,52300,19625.0,52300,19625
2016-03-29,国五92#车用汽油,3,3,44400,15648,50400,15758.0,146800,50925
2016-03-31,国五92#车用汽油,1,1,52800,25075,52800,25075.0,52800,25075
2016-04-01,国五92#车用汽油,1,1,52800,10000,52800,10000.0,52800,10000
2016-04-01,国五95#车用汽油,1,1,57500,19658,57500,19658.0,57500,19658
2016-04-01,沪五92#汽油,1,1,53300,28000,53300,28000.0,53300,28000
2016-04-02,沪五92#汽油,1,1,53500,17435,53500,17435.0,53500,17435
2016-04-04,国五92#车用汽油,2,2,52800,5793,53400,17799.5,106800,35599
2016-04-04,国五95#车用汽油,2,2,50500,9504,54000,17272.5,108000,34545
2016-04-05,国五92#车用汽油,1,1,53500,10000,53500,10000.0,53500,10000
