time,Y,m,d,H,M,S,w,yweek,yday
1436606411,2015,07,11,17,20,11,6,27,192
1446008389,2015,10,28,12,59,49,3,43,301
1436606411,2015,07,11,17,20,11,6,27,192
1448711327,2015,11,28,19,48,47,6,47,332
1442406188,2015,09,16,20,23,08,3,37,259
1436606411,2015,07,11,17,20,11,6,27,192
1448711327,2015,11,28,19,48,47,6,47,332
1443005623,2015,09,23,18,53,43,3,38,266
1453279073,2016,01,20,16,37,53,3,03,020
1448711327,2015,11,28,19,48,47,6,47,332
1443005623,2015,09,23,18,53,43,3,38,266
1453279073,2016,01,20,16,37,53,3,03,020
1442406188,2015,09,16,20,23,08,3,37,259
1453279073,2016,01,20,16,37,53,3,03,020
1438332272,2015,07,31,16,44,32,5,30,212
1443005623,2015,09,23,18,53,43,3,38,266
1438332272,2015,07,31,16,44,32,5,30,212
1446008389,2015,10,28,12,59,49,3,43,301
1442406188,2015,09,16,20,23,08,3,37,259
1438332272,2015,07,31,16,44,32,5,30,212
1446008389,2015,10,28,12,59,49,3,43,301
1434730212,2015,06,20,00,10,12,6,24,171
1434731205,2015,06,20,00,26,45,6,24,171
1434734045,2015,06,20,01,14,05,6,24,171
1434731229,2015,06,20,00,27,09,6,24,171
1434730212,2015,06,20,00,10,12,6,24,171
1434731937,2015,06,20,00,38,57,6,24,171
1434731897,2015,06,20,00,38,17,6,24,171
1434735773,2015,06,20,01,42,53,6,24,171
1434747975,2015,06,20,05,06,15,6,24,171
1434737301,2015,06,20,02,08,21,6,24,171
1434743048,2015,06,20,03,44,08,6,24,171
1434737746,2015,06,20,02,15,46,6,24,171
1434740390,2015,06,20,02,59,50,6,24,171
1434733845,2015,06,20,01,10,45,6,24,171
1434731605,2015,06,20,00,33,25,6,24,171
1434737119,2015,06,20,02,05,19,6,24,171
1434732688,2015,06,20,00,51,28,6,24,171
1434735374,2015,06,20,01,36,14,6,24,171
1434734831,2015,06,20,01,27,11,6,24,171
1434734418,2015,06,20,01,20,18,6,24,171
1434733842,2015,06,20,01,10,42,6,24,171
1434735711,2015,06,20,01,41,51,6,24,171
1434734353,2015,06,20,01,19,13,6,24,171
1434733687,2015,06,20,01,08,07,6,24,171
1434739211,2015,06,20,02,40,11,6,24,171
1434731615,2015,06,20,00,33,35,6,24,171
1434741844,2015,06,20,03,24,04,6,24,171
1434760771,2015,06,20,08,39,31,6,24,171
1434752961,2015,06,20,06,29,21,6,24,171
1434741173,2015,06,20,03,12,53,6,24,171
1434752749,2015,06,20,06,25,49,6,24,171
1434741961,2015,06,20,03,26,01,6,24,171
1434760048,2015,06,20,08,27,28,6,24,171
1434753408,2015,06,20,06,36,48,6,24,171
1434752761,2015,06,20,06,26,01,6,24,171
1434758635,2015,06,20,08,03,55,6,24,171
1434749739,2015,06,20,05,35,39,6,24,171
1434746449,2015,06,20,04,40,49,6,24,171
1434746449,2015,06,20,04,40,49,6,24,171
1434757618,2015,06,20,07,46,58,6,24,171
1434759256,2015,06,20,08,14,16,6,24,171
1434757033,2015,06,20,07,37,13,6,24,171
1434763132,2015,06,20,09,18,52,6,24,171
1434758213,2015,06,20,07,56,53,6,24,171
1434753515,2015,06,20,06,38,35,6,24,171
1434757748,2015,06,20,07,49,08,6,24,171
1434763115,2015,06,20,09,18,35,6,24,171
1434764240,2015,06,20,09,37,20,6,24,171
1434764571,2015,06,20,09,42,51,6,24,171
1434764966,2015,06,20,09,49,26,6,24,171
1434768706,2015,06,20,10,51,46,6,24,171
1434735574,2015,06,20,01,39,34,6,24,171
1434767391,2015,06,20,10,29,51,6,24,171
1434769008,2015,06,20,10,56,48,6,24,171
1434766851,2015,06,20,10,20,51,6,24,171
1434769951,2015,06,20,11,12,31,6,24,171
1434735890,2015,06,20,01,44,50,6,24,171
1434769677,2015,06,20,11,07,57,6,24,171
1434759379,2015,06,20,08,16,19,6,24,171
1434772669,2015,06,20,11,57,49,6,24,171
1434757811,2015,06,20,07,50,11,6,24,171
1434770539,2015,06,20,11,22,19,6,24,171
1434761314,2015,06,20,08,48,34,6,24,171
1434769102,2015,06,20,10,58,22,6,24,171
1434765444,2015,06,20,09,57,24,6,24,171
1434763714,2015,06,20,09,28,34,6,24,171
1434774547,2015,06,20,12,29,07,6,24,171
1434775434,2015,06,20,12,43,54,6,24,171
1434774078,2015,06,20,12,21,18,6,24,171
1434766854,2015,06,20,10,20,54,6,24,171
1434774755,2015,06,20,12,32,35,6,24,171
1434777466,2015,06,20,13,17,46,6,24,171
1434778974,2015,06,20,13,42,54,6,24,171
1434777071,2015,06,20,13,11,11,6,24,171
1434779775,2015,06,20,13,56,15,6,24,171
1434779491,2015,06,20,13,51,31,6,24,171
1434777593,2015,06,20,13,19,53,6,24,171
1434780969,2015,06,20,14,16,09,6,24,171
1434779525,2015,06,20,13,52,05,6,24,171
1434779525,2015,06,20,13,52,05,6,24,171
1434780921,2015,06,20,14,15,21,6,24,171
1434779406,2015,06,20,13,50,06,6,24,171
1434784546,2015,06,20,15,15,46,6,24,171
1434781045,2015,06,20,14,17,25,6,24,171
1434778429,2015,06,20,13,33,49,6,24,171
1434785641,2015,06,20,15,34,01,6,24,171
1434783914,2015,06,20,15,05,14,6,24,171
1434785444,2015,06,20,15,30,44,6,24,171
1434790487,2015,06,20,16,54,47,6,24,171
1434789640,2015,06,20,16,40,40,6,24,171
1434781161,2015,06,20,14,19,21,6,24,171
1434789878,2015,06,20,16,44,38,6,24,171
1434789631,2015,06,20,16,40,31,6,24,171
1434788879,2015,06,20,16,27,59,6,24,171
1434786632,2015,06,20,15,50,32,6,24,171
1434788896,2015,06,20,16,28,16,6,24,171
1434792841,2015,06,20,17,34,01,6,24,171
1434798025,2015,06,20,19,00,25,6,24,171
1434794776,2015,06,20,18,06,16,6,24,171
1434796653,2015,06,20,18,37,33,6,24,171
1434794973,2015,06,20,18,09,33,6,24,171
1434801848,2015,06,20,20,04,08,6,24,171
1434800140,2015,06,20,19,35,40,6,24,171
1434789977,2015,06,20,16,46,17,6,24,171
1434793496,2015,06,20,17,44,56,6,24,171
1434797557,2015,06,20,18,52,37,6,24,171
1434804783,2015,06,20,20,53,03,6,24,171
1434799922,2015,06,20,19,32,02,6,24,171
1434808325,2015,06,20,21,52,05,6,24,171
1434794354,2015,06,20,17,59,14,6,24,171
1434801443,2015,06,20,19,57,23,6,24,171
1434799227,2015,06,20,19,20,27,6,24,171
1434804111,2015,06,20,20,41,51,6,24,171
1434798652,2015,06,20,19,10,52,6,24,171
1434801609,2015,06,20,20,00,09,6,24,171
1434800818,2015,06,20,19,46,58,6,24,171
1434811946,2015,06,20,22,52,26,6,24,171
1434802633,2015,06,20,20,17,13,6,24,171
1434806154,2015,06,20,21,15,54,6,24,171
1434808494,2015,06,20,21,54,54,6,24,171
1434800818,2015,06,20,19,46,58,6,24,171
1434813308,2015,06,20,23,15,08,6,24,171
1434810654,2015,06,20,22,30,54,6,24,171
1434807834,2015,06,20,21,43,54,6,24,171
1434831117,2015,06,21,04,11,57,0,25,172
1434820660,2015,06,21,01,17,40,0,25,172
1434820113,2015,06,21,01,08,33,0,25,172
1434836447,2015,06,21,05,40,47,0,25,172
1434813583,2015,06,20,23,19,43,6,24,171
1434830161,2015,06,21,03,56,01,0,25,172
1434815841,2015,06,20,23,57,21,6,24,171
1434834475,2015,06,21,05,07,55,0,25,172
1434808637,2015,06,20,21,57,17,6,24,171
1434846059,2015,06,21,08,20,59,0,25,172
1434814169,2015,06,20,23,29,29,6,24,171
1434802069,2015,06,20,20,07,49,6,24,171
1434807248,2015,06,20,21,34,08,6,24,171
1434830243,2015,06,21,03,57,23,0,25,172
1434851941,2015,06,21,09,59,01,0,25,172
1434819040,2015,06,21,00,50,40,0,25,172
1434811544,2015,06,20,22,45,44,6,24,171
1434815892,2015,06,20,23,58,12,6,24,171
1434732482,2015,06,20,00,48,02,6,24,171
1434817023,2015,06,21,00,17,03,0,25,172
1434848929,2015,06,21,09,08,49,0,25,172
1434816307,2015,06,21,00,05,07,0,25,172
1434802069,2015,06,20,20,07,49,6,24,171
1434732102,2015,06,20,00,41,42,6,24,171
1434736549,2015,06,20,01,55,49,6,24,171
1434756308,2015,06,20,07,25,08,6,24,171
1434843900,2015,06,21,07,45,00,0,25,172
1434816755,2015,06,21,00,12,35,0,25,172
1434848242,2015,06,21,08,57,22,0,25,172
1434812585,2015,06,20,23,03,05,6,24,171
1434849679,2015,06,21,09,21,19,0,25,172
1434814690,2015,06,20,23,38,10,6,24,171
1434845647,2015,06,21,08,14,07,0,25,172
1434822599,2015,06,21,01,49,59,0,25,172
1434845546,2015,06,21,08,12,26,0,25,172
1434852615,2015,06,21,10,10,15,0,25,172
1434845548,2015,06,21,08,12,28,0,25,172
1434853400,2015,06,21,10,23,20,0,25,172
1434851243,2015,06,21,09,47,23,0,25,172
1434822621,2015,06,21,01,50,21,0,25,172
1434855338,2015,06,21,10,55,38,0,25,172
1434761896,2015,06,20,08,58,16,6,24,171
1434767177,2015,06,20,10,26,17,6,24,171
1434761052,2015,06,20,08,44,12,6,24,171
1434851665,2015,06,21,09,54,25,0,25,172
1434816954,2015,06,21,00,15,54,0,25,172
1434834539,2015,06,21,05,08,59,0,25,172
1434825921,2015,06,21,02,45,21,0,25,172
1434849365,2015,06,21,09,16,05,0,25,172
1434855773,2015,06,21,11,02,53,0,25,172
1434773497,2015,06,20,12,11,37,6,24,171
1434825501,2015,06,21,02,38,21,0,25,172
1434764347,2015,06,20,09,39,07,6,24,171
1434850807,2015,06,21,09,40,07,0,25,172
1434850801,2015,06,21,09,40,01,0,25,172
1434854212,2015,06,21,10,36,52,0,25,172
1434846913,2015,06,21,08,35,13,0,25,172
1434857878,2015,06,21,11,37,58,0,25,172
1434826313,2015,06,21,02,51,53,0,25,172
