Y,m,d,H,w,M
2015,06,10,00,3,5
2015,06,10,02,3,4
2015,06,10,03,3,3
2015,06,10,04,3,1
2015,06,10,05,3,3
2015,06,10,06,3,4
2015,06,10,07,3,16
2015,06,10,08,3,19
2015,06,10,09,3,12
2015,06,10,10,3,14
2015,06,10,11,3,11
2015,06,10,12,3,9
2015,06,10,13,3,12
2015,06,10,14,3,6
2015,06,10,15,3,19
2015,06,10,16,3,12
2015,06,10,17,3,9
2015,06,10,18,3,14
2015,06,10,19,3,20
2015,06,10,20,3,16
2015,06,10,21,3,14
2015,06,10,22,3,11
2015,06,10,23,3,7
2015,06,11,00,4,6
2015,06,11,01,4,5
2015,06,11,02,4,5
2015,06,11,03,4,5
2015,06,11,04,4,1
2015,06,11,05,4,1
2015,06,11,06,4,6
2015,06,11,07,4,10
2015,06,11,08,4,14
2015,06,11,09,4,19
2015,06,11,10,4,16
2015,06,11,11,4,13
2015,06,11,12,4,11
2015,06,11,13,4,8
2015,06,11,14,4,4
2015,06,11,15,4,7
2015,06,11,16,4,18
2015,06,11,17,4,13
2015,06,11,18,4,19
2015,06,11,19,4,15
2015,06,11,20,4,20
2015,06,11,21,4,13
2015,06,11,22,4,15
2015,06,11,23,4,4
2015,06,12,00,5,4
2015,06,12,01,5,4
2015,06,12,02,5,1
2015,06,12,03,5,4
2015,06,12,04,5,2
2015,06,12,05,5,3
2015,06,12,06,5,5
2015,06,12,07,5,11
2015,06,12,08,5,17
2015,06,12,09,5,19
2015,06,12,10,5,10
2015,06,12,11,5,15
2015,06,12,12,5,13
2015,06,12,13,5,12
2015,06,12,14,5,15
2015,06,12,15,5,19
2015,06,12,16,5,8
2015,06,12,17,5,14
2015,06,12,18,5,18
2015,06,12,19,5,15
2015,06,12,20,5,21
2015,06,12,21,5,26
2015,06,12,22,5,18
2015,06,12,23,5,11
2015,06,13,00,6,8
2015,06,13,01,6,9
2015,06,13,02,6,6
2015,06,13,03,6,2
2015,06,13,04,6,2
2015,06,13,05,6,3
2015,06,13,06,6,1
2015,06,13,07,6,10
2015,06,13,08,6,10
2015,06,13,09,6,14
2015,06,13,10,6,15
2015,06,13,11,6,17
2015,06,13,12,6,10
2015,06,13,13,6,24
2015,06,13,14,6,16
2015,06,13,15,6,5
2015,06,13,16,6,21
2015,06,13,17,6,17
2015,06,13,18,6,7
2015,06,13,19,6,12
2015,06,13,20,6,23
2015,06,13,21,6,13
2015,06,13,22,6,13
2015,06,13,23,6,9
2015,06,14,00,0,11
2015,06,14,01,0,12
2015,06,14,02,0,3
2015,06,14,03,0,3
2015,06,14,04,0,1
2015,06,14,05,0,1
2015,06,14,07,0,3
2015,06,14,08,0,10
2015,06,14,09,0,9
2015,06,14,10,0,10
2015,06,14,11,0,8
2015,06,14,12,0,11
2015,06,14,13,0,5
2015,06,14,14,0,11
2015,06,14,15,0,8
